sector,method,stock,weight
FMCG,maximum_sharpe,Nestle India,0.020362955459974005
FMCG,maximum_sharpe,Tata Consumer,0.2810888591636141
FMCG,maximum_sharpe,Britannia,0.042943544383391395
FMCG,maximum_sharpe,Dabur,0.0025101954528324354
FMCG,maximum_sharpe,Godrej Consumer,0.04946602023894501
FMCG,maximum_sharpe,Marico,0.148319131685822
FMCG,maximum_sharpe,Jubilant Foodworks,0.048808215097130236
FMCG,maximum_sharpe,Colgate-Palmolive,0.012748621263569047
FMCG,eigen,ITC,0.18527261175858054
FMCG,eigen,Nestle India,0.08756120592727354
FMCG,eigen,Tata Consumer,0.11469131630253969
FMCG,eigen,Britannia,0.09511736224499553
FMCG,eigen,Dabur,0.08094855498121202
FMCG,eigen,Godrej Consumer,0.023650151181055533
FMCG,eigen,Marico,0.05248312489585625
FMCG,eigen,Jubilant Foodworks,0.26501614185352484
FMCG,eigen,Colgate-Palmolive,0.09525953085496211
Healthcare,minimum_variance,Sun Pharma,0.29106588890895213
Healthcare,minimum_variance,Dr Reddy's,0.21454708767108163
Healthcare,minimum_variance,Divi's,0.05781195269267375
Healthcare,minimum_variance,Cipla,0.10050875976996913
Healthcare,minimum_variance,Apollo Hospitals,0.20542789541576784
Healthcare,minimum_variance,Lupin,0.0006349827999519872
Healthcare,minimum_variance,Aurobindo Pharma,0.014377814038811816
Healthcare,minimum_variance,Laurus Labs,0.0029980826395475304
Healthcare,minimum_variance,Biocon,0.07508006682985664
Healthcare,minimum_variance,Zydus Life,0.037547469233387525
Healthcare,maximum_sharpe,Sun Pharma,0.3995632993507254
Healthcare,maximum_sharpe,Dr Reddy's,0.012152395036456766
Healthcare,maximum_sharpe,Divi's,0.15185645130953498
Healthcare,maximum_sharpe,Cipla,0.01177895295706674
Healthcare,maximum_sharpe,Apollo Hospitals,0.274084654521175
Healthcare,maximum_sharpe,Lupin,0.004958550353219565
Healthcare,maximum_sharpe,Aurobindo Pharma,0.008985461397104768
Healthcare,maximum_sharpe,Laurus Labs,0.11161690979780713
Healthcare,maximum_sharpe,Biocon,0.006081850242736306
Healthcare,maximum_sharpe,Zydus Life,0.018921475034173445
Healthcare,eigen,Sun Pharma,0.03222889689229049
Healthcare,eigen,Dr Reddy's,0.08842521243865371
Healthcare,eigen,Divi's,0.09708902637227139
Healthcare,eigen,Cipla,0.07264680430426912
Healthcare,eigen,Apollo Hospitals,0.33460706109712746
Healthcare,eigen,Lupin,0.013992295419278112
Healthcare,eigen,Aurobindo Pharma,0.008816029970605056
Healthcare,eigen,Laurus Labs,0.20222820220231574
Healthcare,eigen,Biocon,0.14159659348846484
Healthcare,eigen,Zydus Life,0.008369877814724256
IT,minimum_variance,Infosys,0.10724155325304179
IT,minimum_variance,TCS,0.5188014897974372
IT,minimum_variance,Tech Mahindra,0.04257634143786972
IT,minimum_variance,Wipro,0.10750927444687422
IT,minimum_variance,HCL Tech,0.06836341807013259
IT,minimum_variance,LTIMindtree,0.027560415087171143
IT,minimum_variance,Mphasis,0.004663060668508178
IT,minimum_variance,Coforge,0.00265782712703744
IT,minimum_variance,OFSS,0.12062662011192773
IT,maximum_sharpe,Infosys,0.02742976962302572
IT,maximum_sharpe,TCS,0.007189724626227351
IT,maximum_sharpe,Tech Mahindra,0.041125883496399444
IT,maximum_sharpe,Wipro,0.02985700515613234
IT,maximum_sharpe,HCL Tech,0.16250268227752118
IT,maximum_sharpe,LTIMindtree,0.015283298627893488
IT,maximum_sharpe,Mphasis,0.009295332033610625
IT,maximum_sharpe,Coforge,0.42553251379005197
IT,maximum_sharpe,OFSS,0.28178379036913803
IT,eigen,Infosys,0.10284915339171717
IT,eigen,TCS,0.13994444707188958
IT,eigen,Tech Mahindra,0.053510562529713535
IT,eigen,Wipro,0.07229909599016443
IT,eigen,HCL Tech,0.09891620136477368
IT,eigen,LTIMindtree,0.08119525615062885
IT,eigen,Mphasis,0.21190871927516924
IT,eigen,Coforge,0.16444383820820532
IT,eigen,OFSS,0.07493272601773811
Metal,minimum_variance,Tata Steel,0.006386022175813276
Metal,minimum_variance,JSW Steel,0.3228646842851638
Metal,minimum_variance,Adani Enterprises,0.045274038981210664
Metal,minimum_variance,Vedanta,0.009186615063648299
Metal,minimum_variance,Coal India,0.3791548962176077
Metal,minimum_variance,NMDC,0.005313541696886857
Metal,minimum_variance,Jindal Steel,0.02075999129165623
Metal,minimum_variance,APL Apollo,0.2110602102880132
Metal,maximum_sharpe,Tata Steel,0.029558678197540995
Metal,maximum_sharpe,JSW Steel,0.17667385676402075
Metal,maximum_sharpe,Adani Enterprises,0.26632283533210915
Metal,maximum_sharpe,Vedanta,0.023260425721822645
Metal,maximum_sharpe,Coal India,0.022989745543941297
Metal,maximum_sharpe,NMDC,0.06944667476747388
Metal,maximum_sharpe,Jindal Steel,0.00573509281196099
Metal,maximum_sharpe,APL Apollo,0.40601269086113045
Metal,eigen,Tata Steel,0.08436483633297442
Metal,eigen,JSW Steel,0.09765659255146157
Metal,eigen,Adani Enterprises,0.229864673349865
Metal,eigen,Vedanta,0.042728041687578606
Metal,eigen,Coal India,0.03528939607222818
Metal,eigen,NMDC,0.08197189133712181
Metal,eigen,Jindal Steel,0.06435616899698932
Metal,eigen,APL Apollo,0.36376839967178115
