sector,method,annual_return,annual_risk,sharpe,training_days
Auto,minimum_variance,0.1935488656170005,0.17813098937018054,1.0304151246561644,1242
Auto,maximum_sharpe,0.3885250354243745,0.24420309905976748,1.550041899065877,1242
Auto,eigen,0.293131952660159,0.20431279537382827,1.3857769022352047,1242
Banking,minimum_variance,0.19584000159353465,0.19086155319210327,0.9736900831278764,1242
Banking,maximum_sharpe,0.304071880991791,0.2190384523065922,1.3425582489971812,1242
Banking,eigen,0.24731773995671227,0.21438917358639564,1.1069483406589873,1242
Consumer Durable,minimum_variance,0.10410178040688536,0.15932032906245477,0.5906451547058804,1242
Consumer Durable,maximum_sharpe,0.3675939968051509,0.21144538627480902,1.6911884581884282,1242
Consumer Durable,eigen,0.17750725406958687,0.1685320916619578,0.9939190359398935,1242
FMCG,minimum_variance,0.12796776736895077,0.13826994769021042,0.8531699717805198,1242
FMCG,maximum_sharpe,0.19736596199278092,0.16196239230716208,1.156848570360957,1242
FMCG,eigen,0.1649534795157095,0.15877502112166098,0.9759310905521893,1242
Healthcare,minimum_variance,0.23999958127786317,0.1726563666978087,1.332123371276654,1242
Healthcare,maximum_sharpe,0.3211936340135792,0.18854977942402776,1.6504587539916389,1242
Healthcare,eigen,0.2939298729188852,0.20184376434548118,1.406681419362073,1242
IT,minimum_variance,0.18492886411794354,0.19957338867657634,0.8765139745230708,1242
IT,maximum_sharpe,0.3575801026420742,0.26331988242907467,1.3199918647833022,1242
IT,eigen,0.2791059514599015,0.23170352526043136,1.1614236389257797,1242
Metal,minimum_variance,0.394385872830744,0.23992564018160792,1.6021041875298914,1242
Metal,maximum_sharpe,0.5507443780736446,0.28770576021366445,1.8795048721723933,1242
Metal,eigen,0.5388325036224056,0.2841007568189164,1.8614258882790635,1242
